,Team Name,Positions
0,Barcelona,"[1, 1, 1, 1, 1, 1, 5, 6, 5, 5, 4, 5, 4, 5, 3, 5, 3, 3, 3, 3, 3, 3, 3, 4, 3, 2, 2, 2, 2, 3, 3, 1, 3, 3, 3, 3]"
1,Valencia,"[2, 10, 9, 6, 9, 11, 14, 14, 11, 13, 15, 15, 14, 13, 16, 17, 18, 14, 14, 14, 14, 13, 14, 12, 14, 12, 12, 12, 12, 13, 14, 14, 14, 14, 13, 14]"
2,Real Madrid,"[3, 5, 3, 2, 2, 2, 1, 1, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2]"
3,Atletico Madrid,"[4, 4, 2, 5, 5, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1]"
4,Osasuna,"[5, 8, 13, 16, 12, 12, 10, 11, 13, 14, 16, 18, 20, 20, 20, 19, 19, 19, 19, 17, 17, 15, 12, 13, 12, 13, 13, 13, 14, 14, 11, 12, 11, 11, 12, 11]"
5,Granada CF,"[6, 2, 6, 4, 4, 3, 2, 4, 6, 6, 7, 8, 7, 6, 7, 6, 7, 7, 7, 7, 8, 7, 8, 9, 8, 9, 8, 8, 10, 8, 8, 8, 8, 9, 10, 10]"
6,Real Betis,"[7, 3, 5, 9, 6, 10, 12, 8, 9, 9, 14, 9, 10, 12, 9, 10, 10, 9, 8, 8, 7, 8, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6]"
7,Valladolid,"[8, 16, 16, 18, 20, 20, 20, 20, 19, 17, 17, 19, 16, 18, 18, 18, 15, 17, 16, 16, 16, 18, 18, 19, 18, 16, 16, 16, 16, 17, 16, 17, 17, 17, 17, 18]"
8,Real Sociedad,"[9, 13, 7, 11, 7, 5, 4, 3, 2, 2, 2, 2, 2, 3, 4, 3, 4, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
9,Villarreal,"[10, 6, 12, 8, 8, 6, 6, 5, 4, 4, 5, 4, 5, 4, 5, 7, 6, 5, 5, 5, 5, 5, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7]"
10,Huesca,"[11, 17, 17, 14, 15, 17, 19, 19, 20, 19, 20, 20, 19, 19, 19, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 18, 16, 17, 19, 19, 18, 18, 17]"
11,Celta Vigo,"[12, 7, 8, 12, 13, 16, 17, 18, 18, 20, 18, 13, 9, 8, 8, 8, 8, 8, 11, 9, 10, 10, 9, 10, 10, 8, 10, 11, 8, 10, 12, 10, 10, 10, 8, 8]"
12,Eibar,"[13, 14, 18, 19, 16, 15, 13, 16, 16, 16, 13, 11, 11, 14, 17, 16, 13, 15, 15, 15, 15, 17, 17, 18, 17, 19, 19, 19, 20, 20, 20, 20, 20, 20, 20, 20]"
13,Alaves,"[14, 18, 19, 20, 18, 19, 15, 15, 15, 15, 11, 12, 13, 16, 12, 12, 14, 16, 17, 18, 18, 16, 16, 16, 16, 18, 18, 18, 19, 19, 19, 18, 16, 16, 16, 15]"
14,Levante,"[15, 15, 10, 13, 17, 18, 18, 17, 17, 18, 19, 17, 18, 15, 14, 9, 12, 11, 10, 12, 9, 9, 11, 8, 9, 11, 9, 10, 11, 9, 10, 11, 12, 13, 14, 13]"
15,Sevilla,"[16, 11, 4, 3, 3, 7, 8, 10, 8, 7, 6, 6, 6, 7, 6, 4, 5, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
16,Athletic Club,"[17, 19, 14, 15, 19, 14, 16, 13, 14, 11, 10, 16, 15, 10, 11, 13, 9, 12, 13, 11, 11, 11, 10, 11, 11, 10, 11, 9, 9, 11, 9, 9, 9, 8, 9, 9]"
17,Cadiz,"[18, 12, 15, 10, 10, 8, 7, 7, 7, 8, 8, 7, 8, 9, 10, 11, 11, 10, 9, 10, 13, 14, 15, 14, 15, 14, 14, 15, 13, 12, 13, 13, 13, 12, 11, 12]"
18,Getafe,"[19, 9, 11, 7, 11, 9, 9, 9, 12, 10, 12, 14, 17, 11, 13, 14, 16, 13, 12, 13, 12, 12, 13, 15, 13, 15, 15, 14, 15, 15, 15, 15, 15, 15, 15, 16]"
19,Elche,"[20, 20, 20, 17, 14, 13, 11, 12, 10, 12, 9, 10, 12, 17, 15, 15, 17, 18, 18, 19, 19, 19, 19, 17, 19, 17, 17, 17, 17, 18, 18, 16, 18, 19, 19, 19]"
