,Team Name,Points
0,Atletico Madrid,"[3, 3, 6, 7, 10, 10, 13, 16, 19, 20, 23, 23, 24, 24, 27, 27, 28, 31, 34, 35, 38, 41, 42, 45, 48, 51, 54, 57, 60, 60, 63, 66, 69, 69, 72, 73, 76, 77]"
1,Real Betis,"[3, 6, 9, 9, 12, 15, 15, 16, 19, 20, 20, 23, 24, 24, 25, 28, 28, 28, 31, 31, 34, 37, 40, 41, 42, 45, 45, 45, 48, 48, 49, 49, 52, 55, 56, 56, 59, 60]"
2,Villarreal,"[3, 6, 7, 10, 10, 11, 12, 12, 15, 15, 18, 18, 18, 21, 24, 27, 28, 31, 31, 31, 31, 31, 34, 37, 38, 41, 44, 47, 47, 47, 50, 53, 54, 57, 60, 63, 63, 64]"
3,Real Madrid,"[3, 6, 9, 12, 15, 18, 19, 22, 25, 28, 31, 32, 32, 35, 38, 38, 41, 44, 45, 45, 48, 51, 52, 53, 56, 56, 59, 59, 62, 65, 65, 68, 68, 71, 71, 74, 77, 78]"
4,Osasuna,"[3, 6, 6, 9, 12, 12, 13, 13, 13, 16, 17, 20, 23, 23, 23, 24, 27, 28, 28, 29, 30, 30, 33, 34, 34, 34, 35, 38, 38, 41, 44, 44, 44, 47, 47, 50, 50, 53]"
5,Valencia,"[3, 3, 3, 6, 6, 9, 10, 13, 14, 15, 15, 15, 16, 19, 19, 19, 19, 20, 20, 20, 20, 20, 23, 23, 26, 26, 27, 27, 27, 30, 33, 33, 34, 37, 40, 40, 41, 42]"
6,Real Sociedad,"[3, 3, 6, 7, 7, 10, 13, 16, 19, 22, 22, 22, 23, 26, 29, 32, 35, 38, 39, 39, 42, 43, 43, 44, 45, 48, 48, 51, 51, 54, 55, 58, 61, 62, 65, 68, 68, 71]"
7,Espanyol,"[1, 1, 1, 4, 4, 4, 5, 6, 9, 9, 10, 11, 12, 12, 13, 14, 17, 20, 20, 21, 21, 24, 27, 27, 27, 27, 27, 27, 27, 28, 28, 31, 31, 31, 34, 35, 36, 37]"
8,Celta Vigo,"[1, 1, 4, 7, 7, 7, 10, 10, 10, 10, 11, 11, 11, 12, 13, 16, 17, 17, 20, 23, 23, 24, 27, 28, 31, 34, 35, 36, 36, 36, 39, 39, 39, 39, 39, 40, 40, 43]"
9,Rayo Vallecano,"[1, 4, 4, 4, 7, 7, 10, 10, 11, 12, 15, 18, 21, 22, 23, 23, 26, 26, 29, 32, 33, 34, 34, 35, 35, 36, 37, 37, 40, 40, 43, 43, 46, 46, 46, 46, 49, 49]"
10,Athletic Club,"[1, 4, 7, 7, 10, 13, 16, 17, 17, 18, 18, 21, 21, 24, 25, 26, 26, 26, 26, 29, 32, 32, 32, 33, 33, 36, 37, 40, 43, 46, 46, 47, 47, 47, 50, 50, 50, 51]"
11,Barcelona,"[1, 4, 7, 10, 13, 16, 19, 22, 22, 25, 28, 31, 34, 37, 38, 41, 44, 47, 50, 53, 56, 59, 59, 62, 65, 68, 71, 72, 73, 76, 76, 79, 82, 85, 85, 85, 88, 88]"
12,Mallorca,"[1, 1, 4, 5, 5, 8, 8, 9, 9, 9, 12, 13, 16, 19, 19, 22, 22, 25, 25, 28, 28, 31, 31, 31, 32, 32, 33, 34, 37, 40, 40, 41, 41, 44, 44, 47, 47, 50]"
13,Sevilla,"[0, 1, 1, 1, 4, 5, 5, 6, 9, 10, 10, 10, 11, 11, 12, 15, 15, 18, 21, 21, 24, 25, 25, 25, 28, 28, 31, 32, 35, 38, 41, 41, 44, 47, 48, 49, 49, 49]"
14,Almeria,"[0, 1, 4, 4, 4, 4, 4, 7, 7, 10, 10, 13, 13, 16, 17, 17, 18, 19, 22, 22, 22, 22, 25, 25, 25, 26, 27, 30, 30, 30, 33, 33, 36, 36, 39, 39, 40, 41]"
15,Cadiz,"[0, 0, 0, 0, 0, 3, 4, 5, 6, 7, 7, 10, 11, 11, 12, 15, 16, 16, 19, 19, 22, 22, 25, 26, 27, 28, 28, 31, 31, 32, 32, 35, 35, 35, 38, 38, 41, 42]"
16,Girona,"[0, 3, 3, 4, 7, 7, 7, 7, 8, 8, 9, 10, 13, 16, 17, 18, 21, 21, 21, 24, 24, 27, 30, 30, 30, 31, 34, 35, 38, 38, 41, 44, 47, 48, 48, 49, 49, 49]"
17,Valladolid,"[0, 1, 1, 4, 4, 4, 7, 8, 8, 11, 14, 14, 17, 17, 17, 17, 17, 17, 20, 23, 24, 24, 24, 27, 28, 28, 28, 29, 32, 35, 35, 35, 35, 35, 35, 38, 39, 40]"
18,Elche,"[0, 1, 1, 1, 1, 1, 1, 2, 3, 3, 4, 4, 4, 4, 4, 4, 5, 6, 6, 9, 9, 9, 9, 12, 13, 13, 13, 13, 13, 13, 13, 16, 16, 19, 20, 21, 24, 25]"
19,Getafe,"[0, 0, 1, 1, 4, 7, 7, 7, 8, 9, 10, 13, 14, 14, 17, 17, 17, 17, 17, 18, 19, 22, 22, 25, 26, 29, 30, 30, 31, 31, 31, 31, 34, 34, 35, 38, 41, 42]"
